KEY,EN,CN,,,,
LC_hero_622,,邪恶年兽,,,,
LC_hero_622_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_623,,邪恶年兽,,,,
LC_hero_623_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_624,,邪恶年兽,,,,
LC_hero_624_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_625,,邪恶年兽,,,,
LC_hero_625_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_626,,邪恶年兽,,,,
LC_hero_626_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_627,,邪恶年兽,,,,
LC_hero_627_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_628,,邪恶年兽,,,,
LC_hero_628_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_629,,邪恶年兽,,,,
LC_hero_629_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_630,,邪恶年兽,,,,
LC_hero_630_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_631,,邪恶年兽,,,,
LC_hero_631_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_632,,邪恶年兽,,,,
LC_hero_632_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_633,,邪恶年兽,,,,
LC_hero_633_description,,<color=#ffa500ff>龙</color>\n,,,,
LC_hero_attribute_attack,Attack Power,攻击力,,,,
LC_hero_attribute_defense,Defense Power,防御力,,,,
LC_hero_attribute_speed,Speed,速度,,,,
LC_hero_attribute_siege,Siege,攻城,,,,
LC_hero_attribute_armyamount,HP,生命,,,,
LC_hero_attribute_exp,Exp Points,经验值,,,,
LC_hero_attribute_energy,Strength,体力,,,,
LC_hero_rarity_1,Common,普通,,,,
LC_hero_rarity_2,Superior,优秀,,,,
LC_hero_rarity_3,Rare,精良,,,,
LC_hero_rarity_4,Epic ,史诗,,,,
LC_hero_rarity_5,Legendary,传奇,,,,
LC_hero_card_ordinary,Ordinary,1星卡,,,,
LC_hero_card_excellent,Superior,2星卡,,,,
LC_hero_card_rare,Rare,3星卡,,,,
LC_hero_card_epic,Epic ,4星卡,,,,
LC_hero_card_legend,Legendary,5星卡,,,,
LC_unlock_new,Unlock,新解锁,,,,
LC_guide_free_gift_1,Mysterious Chest,神秘宝箱,,,,
LC_guide_free_gift_2,Mysterious Chest,神秘宝箱,,,,
LC_guide_free_gift_3,Mysterious Chest,神秘宝箱,,,,
LC_guide_free_gift_4,Mysterious Chest,神秘宝箱,,,,
LC_unlock_by,Unlock By,解锁于,,,,
LC_uncolect_hero,Uncollect Cards,待收集的卡牌,,,,
LC_wooden_chest_1,Wooden Chest Lv. 1,1级 普通宝箱,,,,
LC_wooden_chest_2,Wooden Chest Lv. 2,2级 普通宝箱,,,,
LC_wooden_chest_3,Wooden Chest Lv. 3,3级 普通宝箱,,,,
LC_wooden_chest_4,Wooden Chest Lv. 4,4级 普通宝箱,,,,
LC_wooden_chest_5,Wooden Chest Lv. 5,5级 普通宝箱,,,,
LC_wooden_chest_6,Wooden Chest Lv. 6,6级 普通宝箱,,,,
LC_wooden_chest_7,Wooden Chest Lv. 7,7级 普通宝箱,,,,
LC_wooden_chest_8,Wooden Chest Lv. 8,8级 普通宝箱,,,,
LC_wooden_chest_9,Wooden Chest Lv. 9,9级 普通宝箱,,,,
LC_wooden_chest_10,Wooden Chest Lv. 10,10级 普通宝箱,,,,
LC_wooden_chest_11,Wooden Chest Lv. 11,11级 普通宝箱,,,,
LC_wooden_chest_12,Wooden Chest Lv. 12,12级 普通宝箱,,,,
LC_wooden_chest_13,Wooden Chest Lv. 13,13级 普通宝箱,,,,
LC_silver_chest_1,Silver Chest Lv. 1,1级 幸运宝箱,,,,
LC_silver_chest_2,Silver Chest Lv. 2,2级 幸运宝箱,,,,
LC_silver_chest_3,Silver Chest Lv. 3,3级 幸运宝箱,,,,
LC_silver_chest_4,Silver Chest Lv. 4,4级 幸运宝箱,,,,
LC_silver_chest_5,Silver Chest Lv. 5,5级 幸运宝箱,,,,
LC_silver_chest_6,Silver Chest Lv. 6,6级 幸运宝箱,,,,
LC_silver_chest_7,Silver Chest Lv. 7,7级 幸运宝箱,,,,
LC_silver_chest_8,Silver Chest Lv. 8,8级 幸运宝箱,,,,
LC_silver_chest_9,Silver Chest Lv. 9,9级 幸运宝箱,,,,
LC_silver_chest_10,Silver Chest Lv. 10,10级 幸运宝箱,,,,
LC_silver_chest_11,Silver Chest Lv. 11,11级 幸运宝箱,,,,
LC_silver_chest_12,Silver Chest Lv. 12,12级 幸运宝箱,,,,
LC_silver_chest_13,Silver Chest Lv. 13,13级 幸运宝箱,,,,
LC_golden_chest_1,Golden Chest Lv. 1,1级 金宝箱,,,,
LC_golden_chest_2,Golden Chest Lv. 2,2级 金宝箱,,,,
LC_golden_chest_3,Golden Chest Lv. 3,3级 金宝箱,,,,
LC_golden_chest_4,Golden Chest Lv. 4,4级 金宝箱,,,,
LC_golden_chest_5,Golden Chest Lv. 5,5级 金宝箱,,,,
LC_golden_chest_6,Golden Chest Lv. 6,6级 金宝箱,,,,
LC_golden_chest_7,Golden Chest Lv. 7,7级 金宝箱,,,,
LC_golden_chest_8,Golden Chest Lv. 8,8级 金宝箱,,,,
LC_golden_chest_9,Golden Chest Lv. 9,9级 金宝箱,,,,
LC_golden_chest_10,Golden Chest Lv. 10,10级 金宝箱,,,,
LC_golden_chest_11,Golden Chest Lv. 11,11级 金宝箱,,,,
LC_golden_chest_12,Golden Chest Lv. 12,12级 金宝箱,,,,
LC_golden_chest_13,Golden Chest Lv. 13,13级 金宝箱,,,,
LC_magic_chest_1,Magical Chest Lv. 1,1级 神奇宝箱,,,,
LC_magic_chest_2,Magical Chest Lv. 2,2级 神奇宝箱,,,,
LC_magic_chest_3,Magical Chest Lv. 3,3级 神奇宝箱,,,,
LC_magic_chest_4,Magical Chest Lv. 4,4级 神奇宝箱,,,,
LC_magic_chest_5,Magical Chest Lv. 5,5级 神奇宝箱,,,,
LC_magic_chest_6,Magical Chest Lv. 6,6级 神奇宝箱,,,,
LC_magic_chest_7,Magical Chest Lv. 7,7级 神奇宝箱,,,,
LC_magic_chest_8,Magical Chest Lv. 8,8级 神奇宝箱,,,,
LC_magic_chest_9,Magical Chest Lv. 9,9级 神奇宝箱,,,,
LC_magic_chest_10,Magical Chest Lv. 10,10级 神奇宝箱,,,,
LC_magic_chest_11,Magical Chest Lv. 11,11级 神奇宝箱,,,,
LC_magic_chest_12,Magical Chest Lv. 12,12级 神奇宝箱,,,,
LC_magic_chest_13,Magical Chest Lv. 13,13级 神奇宝箱,,,,
LC_dragon_chest_1,Dragon Chest Lv. 1,1级 巨龙宝箱,,,,
LC_dragon_chest_2,Dragon Chest Lv. 2,2级 巨龙宝箱,,,,
LC_dragon_chest_3,Dragon Chest Lv. 3,3级 巨龙宝箱,,,,
LC_dragon_chest_4,Dragon Chest Lv. 4,4级 巨龙宝箱,,,,
LC_dragon_chest_5,Dragon Chest Lv. 5,5级 巨龙宝箱,,,,
LC_dragon_chest_6,Dragon Chest Lv. 6,6级 巨龙宝箱,,,,
LC_dragon_chest_7,Dragon Chest Lv. 7,7级 巨龙宝箱,,,,
LC_dragon_chest_8,Dragon Chest Lv. 8,8级 巨龙宝箱,,,,
LC_dragon_chest_9,Dragon Chest Lv. 9,9级 巨龙宝箱,,,,
LC_dragon_chest_10,Dragon Chest Lv. 10,10级 巨龙宝箱,,,,
LC_dragon_chest_11,Dragon Chest Lv. 11,11级 巨龙宝箱,,,,
LC_dragon_chest_12,Dragon Chest Lv. 12,12级 巨龙宝箱,,,,
LC_dragon_chest_13,Dragon Chest Lv. 13,13级 巨龙宝箱,,,,
LC_special_chest_1,Special Chest Lv. 1,1级 特别宝箱,,,,
LC_special_chest_2,Special Chest Lv. 2,2级 特别宝箱,,,,
LC_special_chest_3,Special Chest Lv. 3,3级 特别宝箱,,,,
LC_special_chest_4,Special Chest Lv. 4,4级 特别宝箱,,,,
LC_special_chest_5,Special Chest Lv. 5,5级 特别宝箱,,,,
LC_special_chest_6,Special Chest Lv. 6,6级 特别宝箱,,,,
LC_special_chest_7,Special Chest Lv. 7,7级 特别宝箱,,,,
LC_special_chest_8,Special Chest Lv. 8,8级 特别宝箱,,,,
LC_special_chest_9,Special Chest Lv. 9,9级 特别宝箱,,,,
LC_special_chest_10,Special Chest Lv. 10,10级 特别宝箱,,,,
LC_special_chest_11,Special Chest Lv. 11,11级 特别宝箱,,,,
LC_special_chest_12,Special Chest Lv. 12,12级 特别宝箱,,,,
LC_special_chest_13,Special Chest Lv. 13,13级 特别宝箱,,,,
LC_chest_random,Random Chest,随机宝箱,,,,
LC_chest_level,Lv. {0},{0}级,,,,
